id,mat_id,name,category,category_full,rho_bulk,rho_min,rho_max,rho_vib,rho_sc_tm3,flowability,flowability_raw,angle_repose,angle_surcharge,angle_internal_friction,wall_friction_deg,cohesion,bridging_risk,flow_regime,moisture_pct,temp_max,abr_code,abr_text,particle_class,size_code,particle_size_mm,Leq_default,Ceff_default,vfi,bucket_fill_factor,stream_spread_factor,Km,hazard_codes,lambda_ref,fill_max,cema_cls,cema_code,flags,confidence,source,note,app,custom
11,wheat_dry,Wheat dry,GRAIN,Agriculture,790.0,730.0,850.0,,0.79,1,1,28.5,,,,0.2,0.03,mass_flow,5.0,60.0,1,Low,C1/2,,,,,,,,,,0.81,0.45,III,49C1/212X,X,0.82,derived,Agriculture — 49C1/212X,"[""conv"", ""dry"", ""mix"", ""feed"", ""sc""]",0
12,wheat_wet,Wheat wet,GRAIN,Agriculture,800.0,750.0,850.0,,0.8,2,2,42.9,,,,2.2,0.53,funnel_flow,22.0,60.0,1,Low,C1/2,,,,,,,,,,0.73,0.4,III,49C1/212U,U,0.82,derived,Agriculture — 49C1/212U,"[""conv"", ""dry"", ""mix"", ""feed"", ""sc""]",0
13,wheat_fine,Wheat fine,GRAIN,Agriculture,790.0,720.0,860.0,,0.79,2,2,38.5,,,,2.4,0.55,funnel_flow,18.0,60.0,1,Low,C1/2,,,,,,,,,,1.37,0.4,III,49C1/212M,M,0.82,derived,Agriculture — 49C1/212M,"[""conv"", ""dry"", ""mix"", ""react"", ""feed"", ""sc""]",0
14,wheat_coarse,Wheat coarse,GRAIN,Agriculture,760.0,720.0,810.0,,0.76,1,1,39.1,,,,0.2,0.08,mass_flow,11.0,60.0,1,Low,C1/2,,,,,,,,,,1.53,0.45,III,47C1/212X,X,0.82,derived,Agriculture — 47C1/212X,"[""conv"", ""dry"", ""mix"", ""feed"", ""sc""]",0
15,wheat_screened,Wheat screened,GRAIN,Agriculture,790.0,740.0,850.0,,0.79,1,1,41.3,,,,0.2,0.08,mass_flow,11.0,60.0,1,Low,C1/2,,,,,,,,,,1.66,0.45,III,49C1/212,,0.85,derived,Agriculture — 49C1/212,"[""conv"", ""dry"", ""mix"", ""feed"", ""sc""]",0
16,wheat_crushed,Wheat crushed,GRAIN,Agriculture,750.0,710.0,790.0,,0.75,1,1,44.7,,,,0.2,0.08,mass_flow,11.0,60.0,1,Low,C1/2,,,,,,,,,,1.47,0.45,III,46C1/212L,L,0.82,derived,Agriculture — 46C1/212L,"[""conv"", ""dry"", ""mix"", ""feed"", ""sc""]",0
17,wheat_pelletized,Wheat pelletized,GRAIN,Agriculture,790.0,750.0,830.0,,0.79,1,1,39.6,,,,0.2,0.03,mass_flow,1.5,60.0,1,Low,C1/2,,,,,,,,,,1.14,0.45,III,49C1/212U,U,0.82,derived,Agriculture — 49C1/212U,"[""conv"", ""dry"", ""mix"", ""feed"", ""sc""]",0
18,wheat_powder,Wheat powder,GRAIN,Agriculture,810.0,760.0,860.0,,0.81,2,2,38.0,,,,1.0,0.28,funnel_flow,11.0,60.0,1,Low,C1/2,,,,,,,,,,0.92,0.4,III,50C1/212O,O,0.82,derived,Agriculture — 50C1/212O,"[""conv"", ""dry"", ""mix"", ""feed"", ""sc""]",0
19,wheat_granular,Wheat granular,GRAIN,Agriculture,810.0,740.0,880.0,,0.81,1,1,41.4,,,,0.2,0.08,mass_flow,11.0,60.0,1,Low,C1/2,,,,,,,,,,1.13,0.45,III,50C1/212O,O,0.82,derived,Agriculture — 50C1/212O,"[""conv"", ""dry"", ""mix"", ""feed"", ""sc""]",0
20,wheat_raw,Wheat raw,GRAIN,Agriculture,790.0,720.0,850.0,,0.79,2,2,35.0,,,,2.4,0.55,funnel_flow,18.0,60.0,1,Low,C1/2,,,,,,,,,,0.91,0.4,III,"49C1/212L,M","L,M",0.82,derived,"Agriculture — 49C1/212L,M","[""conv"", ""dry"", ""mix"", ""react"", ""feed"", ""sc""]",0
21,soybeans_dry,Soybeans dry,GRAIN,Agriculture,750.0,680.0,830.0,,0.75,2,2,35.0,,,,2.0,0.45,funnel_flow,5.0,60.0,1,Low,C1/2,,,,,,,,,,1.1,0.4,III,"47C1/212L,M","L,M",0.82,derived,"Agriculture — 47C1/212L,M","[""conv"", ""dry"", ""mix"", ""react"", ""feed"", ""sc""]",0
22,soybeans_wet,Soybeans wet,GRAIN,Agriculture,740.0,730.0,750.0,,0.74,2,2,37.4,,,,2.2,0.53,funnel_flow,22.0,60.0,1,Low,C1/2,,,,,,,,,,1.29,0.4,III,46C1/212L,L,0.82,derived,Agriculture — 46C1/212L,"[""conv"", ""dry"", ""mix"", ""feed"", ""sc""]",0
23,soybeans_fine,Soybeans fine,GRAIN,Agriculture,770.0,690.0,850.0,,0.77,2,2,35.0,,,,2.4,0.55,funnel_flow,18.0,60.0,1,Low,C1/2,,,,,,,,,,1.08,0.4,III,"47C1/212L,M","L,M",0.82,derived,"Agriculture — 47C1/212L,M","[""conv"", ""dry"", ""mix"", ""react"", ""feed"", ""sc""]",0
24,soybeans_coarse,Soybeans coarse,GRAIN,Agriculture,780.0,750.0,810.0,,0.78,1,1,30.1,,,,0.2,0.08,mass_flow,11.0,60.0,1,Low,C1/2,,,,,,,,,,1.23,0.45,III,48C1/212X,X,0.82,derived,Agriculture — 48C1/212X,"[""conv"", ""dry"", ""mix"", ""feed"", ""sc""]",0
25,soybeans_screened,Soybeans screened,GRAIN,Agriculture,720.0,690.0,760.0,,0.72,2,2,35.0,,,,2.4,0.55,funnel_flow,18.0,60.0,1,Low,C1/2,,,,,,,,,,0.82,0.4,III,45C1/212M,M,0.82,derived,Agriculture — 45C1/212M,"[""conv"", ""dry"", ""mix"", ""react"", ""feed"", ""sc""]",0
26,soybeans_crushed,Soybeans crushed,GRAIN,Agriculture,780.0,730.0,830.0,,0.78,2,2,35.0,,,,2.4,0.55,funnel_flow,18.0,60.0,1,Low,C1/2,,,,,,,,,,1.62,0.4,III,48C1/212M,M,0.82,derived,Agriculture — 48C1/212M,"[""conv"", ""dry"", ""mix"", ""react"", ""feed"", ""sc""]",0
27,soybeans_pelletized,Soybeans pelletized,GRAIN,Agriculture,760.0,730.0,780.0,,0.76,2,2,41.4,,,,2.4,0.55,funnel_flow,18.0,60.0,1,Low,C1/2,,,,,,,,,,1.06,0.4,III,"47C1/212L,M","L,M",0.82,derived,"Agriculture — 47C1/212L,M","[""conv"", ""dry"", ""mix"", ""react"", ""feed"", ""sc""]",0
28,soybeans_powder,Soybeans powder,GRAIN,Agriculture,770.0,710.0,820.0,,0.77,2,2,44.0,,,,2.4,0.55,funnel_flow,18.0,60.0,1,Low,C1/2,,,,,,,,,,1.11,0.4,III,47C1/212M,M,0.82,derived,Agriculture — 47C1/212M,"[""conv"", ""dry"", ""mix"", ""react"", ""feed"", ""sc""]",0
29,soybeans_granular,Soybeans granular,GRAIN,Agriculture,730.0,690.0,770.0,,0.73,1,1,26.8,,,,0.2,0.03,mass_flow,1.5,60.0,1,Low,C1/2,,,,,,,,,,1.69,0.45,III,45C1/212U,U,0.82,derived,Agriculture — 45C1/212U,"[""conv"", ""dry"", ""mix"", ""feed"", ""sc""]",0
30,soybeans_raw,Soybeans raw,GRAIN,Agriculture,770.0,700.0,840.0,,0.77,1,1,34.8,,,,0.2,0.08,mass_flow,11.0,60.0,1,Low,C1/2,,,,,,,,,,1.52,0.45,III,48C1/212L,L,0.82,derived,Agriculture — 48C1/212L,"[""conv"", ""dry"", ""mix"", ""feed"", ""sc""]",0
31,rice_dry,Rice dry,GRAIN,Agriculture,840.0,780.0,900.0,,0.84,2,2,35.0,,,,2.0,0.45,funnel_flow,5.0,60.0,1,Low,C1/2,,,,,,,,,,0.82,0.4,III,52C1/212M,M,0.82,derived,Agriculture — 52C1/212M,"[""conv"", ""dry"", ""mix"", ""react"", ""feed"", ""sc""]",0
32,rice_wet,Rice wet,GRAIN,Agriculture,810.0,730.0,900.0,,0.81,2,2,35.0,,,,2.2,0.53,funnel_flow,22.0,60.0,1,Low,C1/2,,,,,,,,,,0.74,0.4,III,50C1/212X,X,0.82,derived,Agriculture — 50C1/212X,"[""conv"", ""dry"", ""mix"", ""feed"", ""sc""]",0
33,rice_fine,Rice fine,GRAIN,Agriculture,860.0,810.0,900.0,,0.86,2,2,43.2,,,,1.0,0.28,funnel_flow,11.0,60.0,1,Low,C1/2,,,,,,,,,,1.0,0.4,III,53C1/212X,X,0.82,derived,Agriculture — 53C1/212X,"[""conv"", ""dry"", ""mix"", ""feed"", ""sc""]",0
34,rice_coarse,Rice coarse,GRAIN,Agriculture,800.0,740.0,860.0,,0.8,1,1,27.8,,,,0.2,0.08,mass_flow,11.0,60.0,1,Low,C1/2,,,,,,,,,,0.84,0.45,III,49C1/212O,O,0.82,derived,Agriculture — 49C1/212O,"[""conv"", ""dry"", ""mix"", ""feed"", ""sc""]",0
35,rice_screened,Rice screened,GRAIN,Agriculture,820.0,750.0,890.0,,0.82,1,1,44.5,,,,0.2,0.08,mass_flow,11.0,60.0,1,Low,C1/2,,,,,,,,,,1.46,0.45,III,51C1/212L,L,0.82,derived,Agriculture — 51C1/212L,"[""conv"", ""dry"", ""mix"", ""feed"", ""sc""]",0
36,rice_crushed,Rice crushed,GRAIN,Agriculture,780.0,720.0,850.0,,0.78,2,2,38.6,,,,2.4,0.55,funnel_flow,18.0,60.0,1,Low,C1/2,,,,,,,,,,0.87,0.4,III,48C1/212M,M,0.82,derived,Agriculture — 48C1/212M,"[""conv"", ""dry"", ""mix"", ""react"", ""feed"", ""sc""]",0
37,rice_pelletized,Rice pelletized,GRAIN,Agriculture,840.0,790.0,890.0,,0.84,1,1,30.2,,,,0.2,0.08,mass_flow,11.0,60.0,1,Low,C1/2,,,,,,,,,,1.36,0.45,III,52C1/212X,X,0.82,derived,Agriculture — 52C1/212X,"[""conv"", ""dry"", ""mix"", ""feed"", ""sc""]",0
38,rice_powder,Rice powder,GRAIN,Agriculture,800.0,720.0,890.0,,0.8,2,2,38.0,,,,1.0,0.28,funnel_flow,11.0,60.0,1,Low,C1/2,,,,,,,,,,1.06,0.4,III,50C1/212,,0.85,derived,Agriculture — 50C1/212,"[""conv"", ""dry"", ""mix"", ""feed"", ""sc""]",0
39,rice_granular,Rice granular,GRAIN,Agriculture,860.0,810.0,920.0,,0.86,1,1,28.9,,,,0.2,0.08,mass_flow,11.0,60.0,1,Low,C1/2,,,,,,,,,,0.73,0.45,III,54C1/212O,O,0.82,derived,Agriculture — 54C1/212O,"[""conv"", ""dry"", ""mix"", ""feed"", ""sc""]",0
40,rice_raw,Rice raw,GRAIN,Agriculture,820.0,720.0,910.0,,0.82,1,1,36.1,,,,0.2,0.08,mass_flow,11.0,60.0,1,Low,C1/2,,,,,,,,,,1.27,0.45,III,50C1/212X,X,0.82,derived,Agriculture — 50C1/212X,"[""conv"", ""dry"", ""mix"", ""feed"", ""sc""]",0
41,barley_dry,Barley dry,GRAIN,Agriculture,640.0,570.0,700.0,,0.64,1,1,36.1,,,,0.2,0.03,mass_flow,5.0,60.0,1,Low,C1/2,,,,,,,,,,1.63,0.45,III,39C1/212X,X,0.82,derived,Agriculture — 39C1/212X,"[""conv"", ""dry"", ""mix"", ""feed"", ""sc""]",0
42,barley_wet,Barley wet,GRAIN,Agriculture,630.0,540.0,710.0,,0.63,2,2,35.0,,,,2.2,0.53,funnel_flow,22.0,60.0,1,Low,C1/2,,,,,,,,,,1.31,0.4,III,39C1/212X,X,0.82,derived,Agriculture — 39C1/212X,"[""conv"", ""dry"", ""mix"", ""feed"", ""sc""]",0
43,barley_fine,Barley fine,GRAIN,Agriculture,640.0,600.0,680.0,,0.64,2,2,32.0,,,,1.0,0.28,funnel_flow,11.0,60.0,1,Low,C1/2,,,,,,,,,,0.72,0.4,III,39C1/212,,0.85,derived,Agriculture — 39C1/212,"[""conv"", ""dry"", ""mix"", ""feed"", ""sc""]",0
44,barley_coarse,Barley coarse,GRAIN,Agriculture,600.0,520.0,670.0,,0.6,1,1,40.9,,,,0.2,0.08,mass_flow,11.0,60.0,1,Low,C1/2,,,,,,,,,,0.98,0.45,III,37C1/212O,O,0.82,derived,Agriculture — 37C1/212O,"[""conv"", ""dry"", ""mix"", ""feed"", ""sc""]",0
45,barley_screened,Barley screened,GRAIN,Agriculture,640.0,580.0,700.0,,0.64,1,1,43.6,,,,0.2,0.08,mass_flow,11.0,60.0,1,Low,C1/2,,,,,,,,,,1.26,0.45,III,39C1/212,,0.85,derived,Agriculture — 39C1/212,"[""conv"", ""dry"", ""mix"", ""feed"", ""sc""]",0
46,barley_crushed,Barley crushed,GRAIN,Agriculture,660.0,580.0,740.0,,0.66,1,1,44.2,,,,0.2,0.08,mass_flow,11.0,60.0,1,Low,C1/2,,,,,,,,,,1.59,0.45,III,41C1/212O,O,0.82,derived,Agriculture — 41C1/212O,"[""conv"", ""dry"", ""mix"", ""feed"", ""sc""]",0
47,barley_pelletized,Barley pelletized,GRAIN,Agriculture,610.0,530.0,700.0,,0.61,1,1,38.4,,,,0.2,0.08,mass_flow,11.0,60.0,1,Low,C1/2,,,,,,,,,,1.18,0.45,III,38C1/212X,X,0.82,derived,Agriculture — 38C1/212X,"[""conv"", ""dry"", ""mix"", ""feed"", ""sc""]",0
48,barley_powder,Barley powder,GRAIN,Agriculture,620.0,550.0,690.0,,0.62,2,2,38.0,,,,2.4,0.55,funnel_flow,18.0,60.0,1,Low,C1/2,,,,,,,,,,1.17,0.4,III,38C1/212M,M,0.82,derived,Agriculture — 38C1/212M,"[""conv"", ""dry"", ""mix"", ""react"", ""feed"", ""sc""]",0
49,barley_granular,Barley granular,GRAIN,Agriculture,630.0,550.0,720.0,,0.63,1,1,25.7,,,,0.2,0.03,mass_flow,1.5,60.0,1,Low,C1/2,,,,,,,,,,1.7,0.45,III,39C1/212U,U,0.82,derived,Agriculture — 39C1/212U,"[""conv"", ""dry"", ""mix"", ""feed"", ""sc""]",0
50,barley_raw,Barley raw,GRAIN,Agriculture,630.0,510.0,740.0,,0.63,1,1,34.0,,,,0.2,0.08,mass_flow,11.0,60.0,1,Low,C1/2,,,,,,,,,,1.77,0.45,III,39C1/212L,L,0.82,derived,Agriculture — 39C1/212L,"[""conv"", ""dry"", ""mix"", ""feed"", ""sc""]",0
51,oats_dry,Oats dry,GRAIN,Agriculture,510.0,410.0,610.0,,0.51,1,1,42.4,,,,0.2,0.03,mass_flow,5.0,60.0,1,Low,C1/2,,,,,,,,,,1.55,0.45,III,31C1/212,,0.85,derived,Agriculture — 31C1/212,"[""conv"", ""dry"", ""mix"", ""feed"", ""sc""]",0
52,oats_wet,Oats wet,GRAIN,Agriculture,480.0,400.0,550.0,,0.48,2,2,39.7,,,,2.2,0.53,funnel_flow,22.0,60.0,1,Low,C1/2,,,,,,,,,,1.04,0.4,III,29C1/212,,0.85,derived,Agriculture — 29C1/212,"[""conv"", ""dry"", ""mix"", ""feed"", ""sc""]",0
53,oats_fine,Oats fine,GRAIN,Agriculture,540.0,460.0,620.0,,0.54,2,2,35.8,,,,1.0,0.28,funnel_flow,11.0,60.0,1,Low,C1/2,,,,,,,,,,1.08,0.4,III,33C1/212X,X,0.82,derived,Agriculture — 33C1/212X,"[""conv"", ""dry"", ""mix"", ""feed"", ""sc""]",0
54,oats_coarse,Oats coarse,GRAIN,Agriculture,480.0,400.0,550.0,,0.48,1,1,27.8,,,,0.2,0.03,mass_flow,1.5,60.0,1,Low,C1/2,,,,,,,,,,0.85,0.45,III,29C1/212U,U,0.82,derived,Agriculture — 29C1/212U,"[""conv"", ""dry"", ""mix"", ""feed"", ""sc""]",0
55,oats_screened,Oats screened,GRAIN,Agriculture,520.0,490.0,540.0,,0.52,1,1,37.6,,,,0.2,0.08,mass_flow,11.0,60.0,1,Low,C1/2,,,,,,,,,,0.85,0.45,III,32C1/212,,0.85,derived,Agriculture — 32C1/212,"[""conv"", ""dry"", ""mix"", ""feed"", ""sc""]",0
56,oats_crushed,Oats crushed,GRAIN,Agriculture,510.0,450.0,560.0,,0.51,1,1,27.9,,,,0.2,0.08,mass_flow,11.0,60.0,1,Low,C1/2,,,,,,,,,,1.58,0.45,III,31C1/212L,L,0.82,derived,Agriculture — 31C1/212L,"[""conv"", ""dry"", ""mix"", ""feed"", ""sc""]",0
57,oats_pelletized,Oats pelletized,GRAIN,Agriculture,490.0,420.0,570.0,,0.49,1,1,35.5,,,,0.2,0.08,mass_flow,11.0,60.0,1,Low,C1/2,,,,,,,,,,0.65,0.45,III,30C1/212X,X,0.82,derived,Agriculture — 30C1/212X,"[""conv"", ""dry"", ""mix"", ""feed"", ""sc""]",0
58,oats_powder,Oats powder,GRAIN,Agriculture,500.0,470.0,530.0,,0.5,2,2,38.0,,,,1.0,0.28,funnel_flow,11.0,60.0,1,Low,C1/2,,,,,,,,,,1.56,0.4,III,31C1/212,,0.85,derived,Agriculture — 31C1/212,"[""conv"", ""dry"", ""mix"", ""feed"", ""sc""]",0
59,oats_granular,Oats granular,GRAIN,Agriculture,510.0,400.0,610.0,,0.51,1,1,25.5,,,,0.2,0.08,mass_flow,11.0,60.0,1,Low,C1/2,,,,,,,,,,1.03,0.45,III,31C1/212,,0.85,derived,Agriculture — 31C1/212,"[""conv"", ""dry"", ""mix"", ""feed"", ""sc""]",0
60,oats_raw,Oats raw,GRAIN,Agriculture,510.0,410.0,620.0,,0.51,1,1,31.4,,,,0.2,0.08,mass_flow,11.0,60.0,1,Low,C1/2,,,,,,,,,,1.17,0.45,III,32C1/212O,O,0.82,derived,Agriculture — 32C1/212O,"[""conv"", ""dry"", ""mix"", ""feed"", ""sc""]",0
61,corn_meal_dry,Corn meal dry,GRAIN,Agriculture,570.0,470.0,660.0,,0.57,2,2,28.6,,,,0.6,0.17,funnel_flow,5.0,60.0,3,Medium,A40,,,,,,,,,,1.58,0.4,I,35A4023X,X,0.82,derived,Agriculture — 35A4023X,"[""conv"", ""dry"", ""mix"", ""feed"", ""sc""]",0
62,corn_meal_wet,Corn meal wet,GRAIN,Agriculture,580.0,520.0,630.0,,0.58,3,3,35.0,,,,2.7,0.74,cohesive_flow,22.0,60.0,3,Medium,A40,,,,,,,,,,0.97,0.32,I,36A4023L,L,0.82,derived,Agriculture — 36A4023L,"[""conv"", ""dry"", ""mix"", ""react"", ""sc""]",0
63,corn_meal_fine,Corn meal fine,GRAIN,Agriculture,570.0,520.0,620.0,,0.57,3,3,35.0,,,,2.4,0.7,cohesive_flow,18.0,60.0,3,Medium,A40,,,,,,,,,,1.77,0.32,I,35A4023M,M,0.82,derived,Agriculture — 35A4023M,"[""conv"", ""dry"", ""mix"", ""react"", ""sc""]",0
64,corn_meal_coarse,Corn meal coarse,GRAIN,Agriculture,530.0,440.0,630.0,,0.53,2,2,43.4,,,,0.6,0.17,funnel_flow,1.5,60.0,3,Medium,A40,,,,,,,,,,1.13,0.4,I,33A4023U,U,0.82,derived,Agriculture — 33A4023U,"[""conv"", ""dry"", ""mix"", ""feed"", ""sc""]",0
65,corn_meal_screened,Corn meal screened,GRAIN,Agriculture,540.0,470.0,610.0,,0.54,3,3,36.0,,,,2.4,0.7,cohesive_flow,18.0,60.0,3,Medium,A40,,,,,,,,,,0.92,0.32,I,33A4023M,M,0.82,derived,Agriculture — 33A4023M,"[""conv"", ""dry"", ""mix"", ""react"", ""sc""]",0
66,corn_meal_crushed,Corn meal crushed,GRAIN,Agriculture,550.0,470.0,620.0,,0.55,2,2,37.8,,,,0.6,0.17,funnel_flow,1.5,60.0,3,Medium,A40,,,,,,,,,,0.62,0.4,I,34A4023U,U,0.82,derived,Agriculture — 34A4023U,"[""conv"", ""dry"", ""mix"", ""feed"", ""sc""]",0
67,corn_meal_pelletized,Corn meal pelletized,GRAIN,Agriculture,520.0,440.0,600.0,,0.52,3,3,42.9,,,,2.4,0.7,cohesive_flow,18.0,60.0,3,Medium,A40,,,,,,,,,,0.57,0.32,I,32A4023M,M,0.82,derived,Agriculture — 32A4023M,"[""conv"", ""dry"", ""mix"", ""react"", ""sc""]",0
68,corn_meal_powder,Corn meal powder,GRAIN,Agriculture,580.0,510.0,650.0,,0.58,3,3,38.0,,,,2.4,0.7,cohesive_flow,18.0,60.0,3,Medium,A40,,,,,,,,,,1.3,0.32,I,"36A4023L,M","L,M",0.82,derived,"Agriculture — 36A4023L,M","[""conv"", ""dry"", ""mix"", ""react"", ""sc""]",0
69,corn_meal_granular,Corn meal granular,GRAIN,Agriculture,530.0,460.0,600.0,,0.53,2,2,34.5,,,,0.7,0.24,funnel_flow,11.0,60.0,3,Medium,A40,,,,,,,,,,0.76,0.4,I,33A4023X,X,0.82,derived,Agriculture — 33A4023X,"[""conv"", ""dry"", ""mix"", ""feed"", ""sc""]",0
70,corn_meal_raw,Corn meal raw,GRAIN,Agriculture,580.0,510.0,660.0,,0.58,2,2,31.2,,,,0.6,0.17,funnel_flow,1.5,60.0,3,Medium,A40,,,,,,,,,,1.43,0.4,I,36A4023U,U,0.82,derived,Agriculture — 36A4023U,"[""conv"", ""dry"", ""mix"", ""feed"", ""sc""]",0
71,soy_meal_dry,Soy meal dry,GRAIN,Agriculture,570.0,480.0,660.0,,0.57,3,3,42.8,,,,2.0,0.6,cohesive_flow,5.0,60.0,3,Medium,A40,,,,,,,,,,1.13,0.32,I,"35A4023L,M","L,M",0.82,derived,"Agriculture — 35A4023L,M","[""conv"", ""dry"", ""mix"", ""react"", ""sc""]",0
72,soy_meal_wet,Soy meal wet,GRAIN,Agriculture,590.0,500.0,670.0,,0.59,3,3,35.0,,,,3.0,0.88,cohesive_flow,22.0,60.0,3,Medium,A40,,,,,,,,,,0.68,0.32,I,36A4023M,M,0.82,derived,Agriculture — 36A4023M,"[""conv"", ""dry"", ""mix"", ""react"", ""sc""]",0
73,soy_meal_fine,Soy meal fine,GRAIN,Agriculture,570.0,490.0,650.0,,0.57,3,3,41.3,,,,2.2,0.58,cohesive_flow,11.0,60.0,3,Medium,A40,,,,,,,,,,1.31,0.32,I,35A4023X,X,0.82,derived,Agriculture — 35A4023X,"[""conv"", ""dry"", ""mix"", ""react"", ""sc""]",0
74,soy_meal_coarse,Soy meal coarse,GRAIN,Agriculture,540.0,440.0,640.0,,0.54,2,2,30.6,,,,0.7,0.24,funnel_flow,11.0,60.0,3,Medium,A40,,,,,,,,,,1.37,0.4,I,33A4023O,O,0.82,derived,Agriculture — 33A4023O,"[""conv"", ""dry"", ""mix"", ""feed"", ""sc""]",0
75,soy_meal_screened,Soy meal screened,GRAIN,Agriculture,560.0,480.0,650.0,,0.56,2,2,34.0,,,,0.7,0.24,funnel_flow,11.0,60.0,3,Medium,A40,,,,,,,,,,0.69,0.4,I,35A4023O,O,0.82,derived,Agriculture — 35A4023O,"[""conv"", ""dry"", ""mix"", ""feed"", ""sc""]",0
76,soy_meal_crushed,Soy meal crushed,GRAIN,Agriculture,560.0,450.0,660.0,,0.56,2,2,33.0,,,,0.7,0.24,funnel_flow,11.0,60.0,3,Medium,A40,,,,,,,,,,1.65,0.4,I,34A4023X,X,0.82,derived,Agriculture — 34A4023X,"[""conv"", ""dry"", ""mix"", ""feed"", ""sc""]",0
77,soy_meal_pelletized,Soy meal pelletized,GRAIN,Agriculture,560.0,500.0,620.0,,0.56,3,3,44.2,,,,2.4,0.7,cohesive_flow,18.0,60.0,3,Medium,A40,,,,,,,,,,0.99,0.32,I,"35A4023L,M","L,M",0.82,derived,"Agriculture — 35A4023L,M","[""conv"", ""dry"", ""mix"", ""react"", ""sc""]",0
78,soy_meal_powder,Soy meal powder,GRAIN,Agriculture,600.0,510.0,690.0,,0.6,3,3,38.0,,,,2.2,0.58,cohesive_flow,11.0,60.0,3,Medium,A40,,,,,,,,,,0.57,0.32,I,37A4023,,0.85,derived,Agriculture — 37A4023,"[""conv"", ""dry"", ""mix"", ""react"", ""sc""]",0
